Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Jennings, Jazz",I am Jazz,Banned in Libraries,Florida,Polk county public schools,Administrator,5,2022-01-01
"Jennings, Jazz",I am Jazz,Banned in Libraries and Classrooms,Florida,Palm beach county school district,Administrator,5,2022-04-01
"Jennings, Jazz",I am Jazz,Banned Pending Investigation,Florida,Duval county public schools,Administrator,5,2022-01-01
"Jennings, Jazz",I am Jazz,Banned Pending Investigation,Florida,Walton county school district,Administrator,5,2022-04-01
"Hutchinson, Shaun David",We Are the Ants,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,5,2022-02-01
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned Pending Investigation,Texas,Katy independent school district,Administrator,5,2022-01-01
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,5,2021-11-01
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,Idaho,Bonneville joint school district no 93,Formal Challenge,5,2022-04-01
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Classrooms,Pennsylvania,Central york school district,Administrator,5,2021-08-01
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,Texas,North east independent school district,Administrator,5,2021-12-01
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,Wisconsin,School district of cadott community,Formal Challenge,5,2022-03-01
