Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,Kansas,Goddard public schools,Administrator,4,2021-11-01
"Rhodes, Jewell Parker",Ghost Boys,Banned in Classrooms,New jersey,Sparta township public schools,Administrator,4,2021-09-01
"Prager, Sarah","Queer, There and Everywhere: 23 People Who Changed the World",Banned in Libraries,Mississippi,Madison county schools,Administrator,3,2022-04-01
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Russo, Meredith",If I Was Your Girl,Banned Pending Investigation,Washington,Kent school district,Administrator,3,2022-01-01
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned in Libraries,Florida,Polk county public schools,Administrator,3,2022-01-01
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,Texas,Klein independent school district,Administrator,3,2021-12-01
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,Florida,Walton county school district,Administrator,3,2022-04-01
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Prager, Sarah","Queer, There and Everywhere: 23 People Who Changed the World",Banned Pending Investigation,Tennessee,Hamilton county schools,Administrator,3,2021-10-01
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,Florida,Indian river county school district,Administrator,3,2021-11-01
"Myracle, Lauren",Shine,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,Pennsylvania,Central york school district,Administrator,3,2021-08-01
"Salazar, Aida",The Moon Within,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Classrooms,Pennsylvania,Central york school district,Administrator,3,2021-08-01
"Peck, Richard",The Best Man,Banned Pending Investigation,Florida,Duval county public schools,Administrator,3,2022-01-01
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Libraries and Classrooms,Wisconsin,School district of waukesha,Administrator,3,2021-12-01
"Salazar, Aida",The Moon Within,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Salazar, Aida",The Moon Within,Banned Pending Investigation,Florida,Duval county public schools,Administrator,3,2022-01-01
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Anderson, Laurie Halse",Shout,Banned in Classrooms,Texas,Leander independent school district,Administrator,3,2021-09-01
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Peck, Richard",The Best Man,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Gottfred, B. T.",Forever for a Year,Banned Pending Investigation,Texas,Lamar consolidated independent school district,Administrator,3,2021-12-01
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,Texas,Katy independent school district,Administrator,3,2021-11-01
"Gottfred, B. T.",The Nerdy and the Dirty,Banned Pending Investigation,Texas,Lamar consolidated independent school district,Administrator,3,2021-12-01
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned Pending Investigation,Florida,Brevard public schools,Administrator,3,2022-05-01
"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Russo, Meredith",If I Was Your Girl,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Russo, Meredith",If I Was Your Girl,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,Texas,Cypress-fairbanks independent school district,Administrator,3,2022-01-01
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Libraries,Florida,St. johns county school district,Formal Challenge,3,2022-05-01
"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,Florida,Walton county school district,Administrator,3,2022-04-01
"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,Florida,Indian river county school district,Administrator,3,2021-11-01
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Gottfred, B. T.",Forever for a Year,Banned in Libraries and Classrooms,Texas,Katy independent school district,Administrator,3,2021-11-01
"Peck, Richard",The Best Man,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
