State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Alabama,102130,Linden city,269,19.0,54.32355555555556,35.32355555555556
Alabama,102160,Lowndes county,811,21.0,54.32355555555556,33.32355555555556
Alabama,102190,Macon county,1045,21.0,54.32355555555556,33.32355555555556
Alabama,102220,Madison county,9474,52.0,54.32355555555556,2.323555555555558
Alabama,102250,Marengo county,621,35.0,54.32355555555556,19.323555555555558
Alabama,102310,Marion county,1819,43.0,54.32355555555556,11.323555555555558
Alabama,102350,Midfield city,654,17.0,54.32355555555556,37.32355555555556
Alabama,102370,Mobile county,28803,36.0,54.32355555555556,18.323555555555558
Alabama,102400,Monroe county,1857,30.0,54.32355555555556,24.323555555555558
Alabama,102430,Montgomery county,16177,29.0,54.32355555555556,25.323555555555558
Alabama,102480,Morgan county,4063,41.0,54.32355555555556,13.323555555555558
Alabama,102490,Mountain brook city,2466,81.0,54.32355555555556,26.676444444444442
Alabama,102520,Muscle shoals city,1521,63.0,54.32355555555556,8.676444444444442
Alabama,102550,Oneonta city,803,51.0,54.32355555555556,3.323555555555558
Alabama,102580,Opelika city,2201,39.0,54.32355555555556,15.323555555555558
Alabama,102610,Opp city,687,45.0,54.32355555555556,9.323555555555558
Alabama,102635,Oxford city,2177,47.0,54.32355555555556,7.323555555555558
Alabama,102640,Ozark city,1130,36.0,54.32355555555556,18.323555555555558
Alabama,102650,Pell city,2150,43.0,54.32355555555556,11.323555555555558
Alabama,102670,Perry county,828,16.0,54.32355555555556,38.32355555555556
Alabama,102700,Phenix city,3476,33.0,54.32355555555556,21.323555555555558
Alabama,102730,Pickens county,1401,38.0,54.32355555555556,16.323555555555558
Alabama,102760,Piedmont city,634,35.0,54.32355555555556,19.323555555555558
Alabama,102790,Pike county,1170,40.0,54.32355555555556,14.323555555555558
Alabama,102820,Randolph county,1172,31.0,54.32355555555556,23.323555555555558
Alabama,102850,Roanoke city,817,32.0,54.32355555555556,22.323555555555558
Alabama,102880,Russell county,1864,34.0,54.32355555555556,20.323555555555558
Alabama,102910,Russellville city,1370,33.0,54.32355555555556,21.323555555555558
Alabama,102940,Scottsboro city,1378,39.0,54.32355555555556,15.323555555555558
Alabama,102970,Selma city,1834,19.0,54.32355555555556,35.32355555555556
Alabama,103000,Sheffield city,515,28.0,54.32355555555556,26.323555555555558
Alabama,103030,Shelby county,10714,51.0,54.32355555555556,3.323555555555558
Alabama,103062,St clair county,4647,42.0,54.32355555555556,12.323555555555558
Alabama,103090,Sumter county,831,16.0,54.32355555555556,38.32355555555556
Alabama,103120,Sylacauga city,1236,43.0,54.32355555555556,11.323555555555558
Alabama,103150,Talladega city,1071,26.0,54.32355555555556,28.323555555555558
Alabama,103180,Talladega county,4091,35.0,54.32355555555556,19.323555555555558
Alabama,103210,Tallapoosa county,1546,30.0,54.32355555555556,24.323555555555558
Alabama,103240,Tallassee city,1004,39.0,54.32355555555556,15.323555555555558
Alabama,103270,Tarrant city,622,18.0,54.32355555555556,36.32355555555556
Alabama,103300,Thomasville city,706,41.0,54.32355555555556,13.323555555555558
Alabama,103330,Troy city,1031,36.0,54.32355555555556,18.323555555555558
Alabama,103360,Tuscaloosa city,5137,37.0,54.32355555555556,17.323555555555558
Alabama,103390,Tuscaloosa county,9371,42.0,54.32355555555556,12.323555555555558
Alabama,103420,Tuscumbia city,800,41.0,54.32355555555556,13.323555555555558
Alabama,103430,Vestavia hills city,3629,77.0,54.32355555555556,22.676444444444442
