,model,accuracy,precision,recall,f1,cv
0,random_forest_class_tr,1.0,1.0,1.0,1.0,1.0
1,random_forest_class_te,1.0,1.0,1.0,1.0,1.0
2,svc_tr,0.8859232,0.9994389587073609,0.9857237715803453,0.9877233165368758,0.9874484654145672
3,svc_te,0.9846097471601319,0.9995456610631531,0.9817045961624274,0.9905447996,0.9765493833383742
